date,open,close,high,low,volume,code,股价
2018-11-01,9.5,9.28,9.58,9.23,162013.0,600305,9.5
2018-11-02,9.58,9.85,9.96,9.4,276590.0,600305,9.5
2018-11-05,9.71,9.7,9.82,9.51,166992.0,600305,9.5
2018-11-06,9.64,9.8,9.83,9.55,119345.0,600305,9.5
2018-11-07,9.76,9.86,10.08,9.72,182091.0,600305,10.0
2018-11-08,9.94,9.75,10.1,9.7,147989.0,600305,10.0
2018-11-09,9.66,9.69,9.84,9.6,81317.0,600305,9.5
2018-11-12,9.69,9.87,9.89,9.55,120417.0,600305,9.5
2018-11-13,9.75,10.09,10.23,9.68,173646.0,600305,10.0
2018-11-14,10.07,9.94,10.15,9.92,102214.0,600305,10.0
2018-11-15,9.91,10.01,10.08,9.9,82549.0,600305,10.0
2018-11-16,10.01,9.96,10.05,9.88,108588.0,600305,10.0
2018-11-19,9.91,9.9,9.96,9.77,107438.0,600305,9.5
2018-11-20,9.83,9.56,9.85,9.54,101841.0,600305,9.5
2018-11-21,9.6,9.78,9.83,9.52,110278.0,600305,9.5
2018-11-22,9.8,9.6,9.82,9.5,100744.0,600305,9.5
2018-11-23,9.62,9.43,9.62,9.35,72530.0,600305,9.5
2018-11-26,9.42,9.38,9.53,9.33,50333.0,600305,9.5
2018-11-27,9.43,9.4,9.44,9.36,37550.0,600305,9.0
2018-11-28,9.48,9.62,9.63,9.39,73744.0,600305,9.5
2018-11-29,9.69,9.46,9.74,9.45,72510.0,600305,9.5
2018-11-30,9.46,9.62,9.66,9.38,55087.0,600305,9.5
2018-12-03,9.85,9.97,10.05,9.75,195316.0,600305,10.0
2018-12-04,9.93,9.91,9.94,9.8,119912.0,600305,9.5
2018-12-05,9.75,9.88,10.02,9.75,111146.0,600305,10.0
2018-12-06,9.81,9.76,9.93,9.71,77984.0,600305,9.5
2018-12-07,9.77,9.99,10.09,9.76,116275.0,600305,10.0
2018-12-10,9.95,9.87,10.03,9.82,72326.0,600305,10.0
2018-12-11,9.88,10.06,10.06,9.88,98921.0,600305,10.0
2018-12-12,10.09,10.06,10.14,10.0,94998.0,600305,10.0
2018-12-13,10.06,10.41,10.74,10.04,265465.0,600305,10.5
2018-12-14,10.41,10.35,10.57,10.32,171002.0,600305,10.5
2018-12-17,10.36,10.23,10.53,10.06,143666.0,600305,10.5
2018-12-18,10.15,10.18,10.29,9.99,119505.0,600305,10.0
2018-12-19,10.18,9.95,10.26,9.93,96006.0,600305,10.0
2018-12-20,9.91,10.14,10.18,9.83,107333.0,600305,10.0
2018-12-21,10.08,10.01,10.27,9.92,81826.0,600305,10.0
2018-12-24,10.01,10.22,10.29,9.94,102610.0,600305,10.0
2018-12-25,10.11,10.44,10.47,10.02,150324.0,600305,10.0
2018-12-26,10.34,10.35,10.56,10.3,237221.0,600305,10.5
2018-12-27,10.47,10.36,10.54,10.27,204140.0,600305,10.5
2018-12-28,10.4,10.4,10.45,10.16,97744.0,600305,10.0
2019-01-02,10.45,10.36,10.61,10.34,132447.0,600305,10.5
2019-01-03,10.36,9.89,10.44,9.84,165532.0,600305,10.0
2019-01-04,9.69,10.15,10.18,9.63,158668.0,600305,10.0
2019-01-07,10.48,10.64,10.75,10.37,304084.0,600305,10.5
2019-01-08,10.59,10.7,10.75,10.51,153341.0,600305,10.5
2019-01-09,10.74,10.78,11.06,10.64,196169.0,600305,11.0
2019-01-10,10.85,10.8,10.94,10.67,90630.0,600305,10.5
2019-01-11,10.72,10.9,10.95,10.57,125513.0,600305,10.5
2019-01-14,10.9,10.68,10.95,10.65,104035.0,600305,10.5
2019-01-15,10.68,11.21,11.25,10.65,186102.0,600305,11.0
2019-01-16,11.17,11.32,11.33,11.08,130478.0,600305,11.0
2019-01-17,11.2,11.22,11.35,11.12,104176.0,600305,11.0
2019-01-18,11.15,11.15,11.28,11.06,131573.0,600305,11.0
2019-01-21,11.18,11.2,11.54,11.13,143405.0,600305,11.5
2019-01-22,11.12,11.19,11.29,11.08,99009.0,600305,11.0
2019-01-23,11.08,11.25,11.38,11.08,97555.0,600305,11.0
2019-01-24,11.24,11.48,11.5,11.2,131819.0,600305,11.5
2019-01-25,11.49,11.76,11.88,11.43,190372.0,600305,11.5
2019-01-28,11.81,11.69,12.05,11.66,183701.0,600305,12.0
2019-01-29,11.69,11.69,11.8,11.4,159177.0,600305,11.5
2019-01-30,11.51,11.17,11.63,11.07,293001.0,600305,11.5
2019-01-31,11.21,11.23,11.33,11.09,166571.0,600305,11.0
2019-02-01,11.28,11.24,11.42,11.05,169992.0,600305,11.0
2019-02-11,11.25,11.69,11.75,11.21,213402.0,600305,11.5
2019-02-12,11.69,11.78,11.8,11.53,159209.0,600305,11.5
2019-02-13,11.74,11.9,12.04,11.63,229826.0,600305,12.0
2019-02-14,11.88,11.92,12.09,11.73,130007.0,600305,12.0
2019-02-15,11.9,11.67,11.9,11.66,136107.0,600305,11.5
2019-02-18,11.7,11.99,11.99,11.7,169480.0,600305,11.5
2019-02-19,11.95,11.76,12.02,11.58,192194.0,600305,12.0
2019-02-20,11.7,11.75,11.87,11.6,86818.0,600305,11.5
2019-02-21,11.72,11.61,11.81,11.5,133508.0,600305,11.5
2019-02-22,11.53,11.64,11.71,11.41,137548.0,600305,11.5
2019-02-25,11.74,11.8,11.82,11.38,368883.0,600305,11.5
2019-02-26,11.68,11.45,11.71,11.42,313001.0,600305,11.5
2019-02-27,11.46,11.6,11.8,11.36,249506.0,600305,11.5
2019-02-28,11.6,12.1,12.1,11.39,359835.0,600305,12.0
2019-03-01,12.28,12.31,12.44,12.12,263029.0,600305,12.0
2019-03-04,12.25,12.15,12.47,11.95,315107.0,600305,12.0
2019-03-05,12.03,12.06,12.15,11.9,182573.0,600305,12.0
2019-03-06,12.09,11.99,12.09,11.85,188048.0,600305,12.0
2019-03-07,11.95,11.79,11.95,11.66,214831.0,600305,11.5
2019-03-08,11.59,11.18,11.7,11.17,216845.0,600305,11.5
2019-03-11,11.2,11.5,11.53,11.2,145544.0,600305,11.5
2019-03-12,11.51,11.5,11.57,11.37,206123.0,600305,11.5
2019-03-13,11.48,11.62,11.67,11.34,207072.0,600305,11.5
2019-03-14,11.63,11.79,12.05,11.58,302541.0,600305,12.0
2019-03-15,11.71,12.0,12.08,11.62,284217.0,600305,12.0
2019-03-18,11.98,12.75,12.76,11.91,360299.0,600305,12.5
2019-03-19,12.78,12.6,12.79,12.35,204646.0,600305,12.5
2019-03-20,12.51,12.42,12.74,12.2,185043.0,600305,12.5
2019-03-21,12.35,12.46,12.53,12.22,134487.0,600305,12.5
2019-03-22,12.4,12.46,12.69,12.2,143295.0,600305,12.5
2019-03-25,12.23,12.22,12.58,12.17,115852.0,600305,12.5
2019-03-26,12.27,12.28,12.71,12.27,221483.0,600305,12.5
2019-03-27,12.39,13.17,13.2,12.38,318469.0,600305,13.0
2019-03-28,12.91,13.17,13.39,12.84,217419.0,600305,13.0
2019-03-29,13.11,13.71,13.86,13.11,286986.0,600305,13.5
2019-04-01,13.66,13.8,14.14,13.51,293213.0,600305,14.0
2019-04-02,13.75,13.72,13.75,13.58,160607.0,600305,13.5
2019-04-03,13.6,13.86,14.18,13.58,184286.0,600305,14.0
2019-04-04,13.69,13.8,13.97,13.64,151371.0,600305,13.5
2019-04-08,13.81,13.61,14.16,13.4,199709.0,600305,14.0
2019-04-09,13.54,13.71,13.82,13.5,114843.0,600305,13.5
2019-04-10,13.66,14.38,14.57,13.56,248478.0,600305,14.5
2019-04-11,14.26,13.4,14.34,13.35,241751.0,600305,14.0
2019-04-12,13.4,13.37,13.51,13.03,187847.0,600305,13.5
2019-04-15,13.55,13.17,13.59,13.1,123628.0,600305,13.5
2019-04-16,12.73,13.28,13.28,12.6,201523.0,600305,13.0
2019-04-17,13.1,13.11,13.3,12.9,130692.0,600305,13.0
2019-04-18,13.01,13.0,13.13,12.91,104234.0,600305,13.0
2019-04-19,13.0,13.2,13.25,13.0,111286.0,600305,13.0
2019-04-22,13.23,13.45,13.63,13.1,169701.0,600305,13.5
2019-04-23,13.42,13.75,13.93,13.21,224180.0,600305,13.5
2019-04-24,13.67,13.72,13.81,13.45,118995.0,600305,13.5
2019-04-25,13.65,13.0,13.7,13.0,133534.0,600305,13.5
2019-04-26,12.81,12.95,13.25,12.8,114018.0,600305,13.0
2019-04-29,13.11,13.22,13.54,12.88,229244.0,600305,13.5
2019-04-30,13.36,13.13,13.44,12.89,164272.0,600305,13.0
2019-05-06,12.61,12.45,13.06,12.1,189524.0,600305,13.0
2019-05-07,12.5,12.99,13.12,12.45,186917.0,600305,13.0
2019-05-08,12.7,13.26,13.53,12.65,196886.0,600305,13.5
2019-05-09,13.08,12.81,13.26,12.75,116950.0,600305,13.0
2019-05-10,13.03,13.56,13.58,12.78,188166.0,600305,13.5
2019-05-13,13.33,13.93,13.94,13.33,213315.0,600305,13.5
2019-05-14,13.72,13.68,13.91,13.58,135335.0,600305,13.5
2019-05-15,13.77,14.25,14.35,13.62,285108.0,600305,14.0
2019-05-16,14.11,14.26,14.32,14.01,161801.0,600305,14.0
2019-05-17,14.2,14.11,14.52,13.97,192316.0,600305,14.5
2019-05-20,13.92,13.75,14.0,13.45,140727.0,600305,14.0
2019-05-21,13.7,14.05,14.17,13.64,133847.0,600305,14.0
2019-05-22,13.98,14.16,14.33,13.81,124449.0,600305,14.0
2019-05-23,14.18,13.67,14.18,13.56,141445.0,600305,14.0
2019-05-24,13.67,13.6,13.94,13.53,96854.0,600305,13.5
2019-05-27,13.52,13.89,13.91,13.29,120478.0,600305,13.5
2019-05-28,13.8,13.98,14.24,13.77,165331.0,600305,14.0
2019-05-29,13.82,13.82,14.02,13.8,83207.0,600305,14.0
2019-05-30,13.78,14.19,14.22,13.68,167487.0,600305,14.0
2019-05-31,14.22,14.59,14.75,14.03,259005.0,600305,14.5
